State,Action,Q-Value
2304,0,0.7
2304,1,0.0
2304,2,0.0
2304,3,0.0
2312,0,4.88316032603751
2312,1,0.12731610853304987
2312,2,9.552150714357689
2312,3,4.271922869017045
264,0,-0.7
264,1,-0.9099999999999999
264,2,8.721370253977637
264,3,0.0
776,0,0.7277281345093963
776,1,-0.9434663311496126
776,2,-0.38675000000000004
776,3,14.201856471916152
904,0,-70.0
904,1,0.0
904,2,-70.0
904,3,0.0
2344,0,7.144965341002248
2344,1,0.0
2344,2,-0.0019827500000000886
2344,3,0.0
2308,0,12.929391148791707
2308,1,0.0
2308,2,1.359074480287318
2308,3,1.7394526241591493
2305,0,2.6877876239650846
2305,1,0.0
2305,2,-0.7
2305,3,0.0
2306,0,0.8232117845074465
2306,1,8.567353461711097
2306,2,0.0
2306,3,2.0588407365873866
260,0,-0.7
260,1,-0.7
260,2,0.0946710371808995
260,3,-0.7
772,0,-0.6555884678941543
772,1,-0.7
772,2,2.1877737261290724
772,3,-0.9099999999999999
769,0,-0.16520000000000007
769,1,4.338638306389089
769,2,1.2631630785458718
769,3,13.767629219635277
513,0,-0.973
513,1,-0.7
513,2,16.523822386870304
513,3,-0.23450000000000004
648,0,-70.0
648,1,0.0
648,2,0.0
648,3,0.0
2088,0,-0.7
2088,1,-0.7
2088,2,9.737582745701541
2088,3,0.0
2056,0,2.6563999874999995
2056,1,4.691849737955923
2056,2,0.0
2056,3,-0.7
3073,0,4.208384658663131
3073,1,0.0
3073,2,0.0
3073,3,0.0
3080,0,2.9242231112677235
3080,1,6.015650571805894
3080,2,2.629698996686101
3080,3,-0.7
2052,0,0.0
2052,1,2.898236003926816
2052,2,0.0
2052,3,9.56631399895415
520,0,-0.7
520,1,-0.7885948952756258
520,2,-0.7
520,3,-0.09485000000000005
1537,0,0.0
1537,1,0.0
1537,2,1.4385
1537,3,-0.7
1538,0,3.873038460456825
1538,1,0.7
1538,2,0.0
1538,3,0.0
1540,0,0.8238283303584175
1540,1,1.3755
1540,2,2.162447129144148
1540,3,1.825671750141682
1544,0,-0.7
1544,1,6.742705910146093
1544,2,-0.7
1544,3,0.0
1672,0,0.0
1672,1,0.7
1672,2,0.0
1672,3,0.0
644,0,-70.0
644,1,0.0
644,2,0.0
644,3,0.0
2340,0,11.579467877908357
2340,1,0.0
2340,2,0.0
2340,3,0.0
2049,0,6.287391205855943
2049,1,0.0
2049,2,0.0
2049,3,-0.23450000000000004
1032,0,-0.7
1032,1,0.9099999999999999
1032,2,0.0
1032,3,0.0
516,0,-0.7
516,1,-0.23450000000000004
516,2,9.566559009610007
516,3,0.0
258,0,-0.3711364646477662
258,1,-0.5041593733852231
258,2,4.525829813387844
258,3,0.0
3074,0,-0.7
3074,1,9.195870916181253
3074,2,0.0
3074,3,0.0
3076,0,3.816353426252776
3076,1,3.8492060783596873
3076,2,-0.23450000000000004
3076,3,8.491006737718997
1026,0,4.212315306758688
1026,1,0.0
1026,2,-0.09485000000000005
1026,3,0.0
770,0,9.049480091902804
770,1,-0.16520000000000007
770,2,6.400317811986175
770,3,2.1550153975989392
836,0,-0.7
836,1,0.0
836,2,0.0
836,3,0.0
840,0,-0.7
840,1,-70.0
840,2,-0.7
840,3,8.74584226475989
1556,0,-0.7
1556,1,0.0
1556,2,0.0
1556,3,0.0
1560,0,-0.7
1560,1,2.7958610897170737
1560,2,0.0
1560,3,0.0
2338,0,-70.0
2338,1,2.6752800129644165
2338,2,0.0
2338,3,0.0
898,0,0.0
898,1,0.0
898,2,0.0
898,3,-0.7
641,0,-70.0
641,1,0.0
641,2,0.0
641,3,0.0
2370,0,2.3120969661020405
2370,1,0.0
2370,2,0.0
2370,3,0.0
2328,0,8.815600138272313
2328,1,0.0
2328,2,0.0
2328,3,0.0
392,0,-68.01604820284834
392,1,-0.7
392,2,-66.94881319143015
392,3,1.5400000000000003
388,0,-67.29037500715407
388,1,0.0
388,2,0.0
388,3,0.0
2372,0,2.2859467403308042
2372,1,0.0
2372,2,0.0
2372,3,0.0
2376,0,4.467163861940664
2376,1,-70.0
2376,2,2.557889489221313
2376,3,4.503859021678618
456,0,-70.0
456,1,-70.0
456,2,-69.36068647212416
456,3,0.0
2408,0,4.198326654218976
2408,1,0.0
2408,2,0.0
2408,3,0.0
1172,0,-70.0
1172,1,0.0
1172,2,0.0
1172,3,0.0
3128,0,-0.7
3128,1,-0.7
3128,2,0.0
3128,3,0.0
3096,0,4.453268012506593
3096,1,0.0
3096,2,0.0
3096,3,-70.0
2369,0,2.6956646066931973
2369,1,0.0
2369,2,0.0
2369,3,0.0
3092,0,4.348441195609921
3092,1,0.0
3092,2,0.0
3092,3,0.0
1176,0,-70.0
1176,1,0.7
1176,2,0.0
1176,3,0.0
3108,0,3.816353426252776
3108,1,0.0
3108,2,0.0
3108,3,0.0
3089,0,2.8991321179834957
3089,1,0.0
3089,2,0.0
3089,3,0.0
1156,0,-70.0
1156,1,0.0
1156,2,0.0
1156,3,0.0
3112,0,7.04265132981647
3112,1,-0.7
3112,2,0.0
3112,3,0.0
2084,0,1.1655
2084,1,0.0
2084,2,0.0
2084,3,0.0
1665,0,-70.0
1665,1,0.0
1665,2,0.0
1665,3,0.0
1028,0,-0.23450000000000004
1028,1,9.10335652450507
1028,2,0.0
1028,3,0.0
328,0,-0.7
328,1,-70.0
328,2,8.807063314439809
328,3,0.0
514,0,16.40372342501032
514,1,0.0
514,2,0.0
514,3,0.0
3204,0,-67.14506295137888
3204,1,0.0
3204,2,0.0
3204,3,0.0
1044,0,-0.23450000000000004
1044,1,0.0
1044,2,0.0
1044,3,0.0
2404,0,3.969360272055601
2404,1,0.0
2404,2,0.0
2404,3,0.0
385,0,-66.78294057792779
385,1,8.645913321327784
385,2,0.0
385,3,0.0
657,0,-70.0
657,1,0.0
657,2,0.0
657,3,0.0
2104,0,-0.7
2104,1,0.0
2104,2,0.0
2104,3,0.0
2072,0,10.887760887787481
2072,1,0.0
2072,2,0.0
2072,3,0.0
3138,0,3.9084510200770914
3138,1,0.0
3138,2,0.0
3138,3,0.0
834,0,4.136188037130407
834,1,0.0
834,2,0.0
834,3,0.0
280,0,11.938779467948567
280,1,0.0
280,2,0.0
280,3,0.0
529,0,-0.7
529,1,-70.0
529,2,0.7
529,3,0.0
536,0,-0.7
536,1,2.5978984262527764
536,2,0.0
536,3,0.0
786,0,5.041170827926894
786,1,0.0
786,2,0.0
786,3,0.0
833,0,8.458607337309695
833,1,0.0
833,2,0.0
833,3,0.0
530,0,7.0
530,1,0.0
530,2,0.0
530,3,0.0
3090,0,-0.7
3090,1,6.6817630303335465
3090,2,0.0
3090,3,0.0
1058,0,-70.0
1058,1,1.8037841232921425
1058,2,0.0
1058,3,0.0
1666,0,0.7005017245005245
1666,1,0.0
1666,2,0.0
1666,3,0.0
1060,0,2.2515049126622717
1060,1,0.0
1060,2,0.0
1060,3,0.0
